   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  -1.57080,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.00000,  -0.00022,  -0.00000,  -0.00000,   0.05772,  -0.00270,  -1.62611,  -0.00000,  -0.00463,  -0.00463,  -0.00463,  -0.00463,   0.00000
  -0.00000,   0.00889,   0.00000,   0.00000,   0.16392,  -0.04511,  -1.68990,   0.00000,   0.18720,   0.18720,   0.18720,   0.18720,   0.00000
  -0.00000,   0.00503,   0.00000,  -0.00000,   0.15803,   0.05263,  -1.78175,  -0.00000,   0.10598,   0.10598,   0.10598,   0.10598,   0.00000
  -0.00000,  -0.00018,   0.00000,  -0.00000,   0.25018,  -0.07500,  -1.74629,   0.00000,  -0.00387,  -0.00387,  -0.00387,  -0.00387,   0.00000
  -0.00000,  -0.00521,   0.00000,  -0.00000,   0.21408,   0.06961,  -1.85484,   0.00000,  -0.10965,  -0.10965,  -0.10965,  -0.10965,   0.00000
  -0.00000,  -0.01130,   0.00000,  -0.00000,   0.30811,  -0.07761,  -1.80171,   0.00000,  -0.23785,  -0.23785,  -0.23785,  -0.23785,   0.00000
  -0.00000,  -0.01746,   0.00000,  -0.00000,   0.26246,   0.07030,  -1.90406,   0.00000,  -0.36765,  -0.36765,  -0.36765,  -0.36765,   0.00000
  -0.00000,  -0.02426,   0.00000,   0.00000,   0.34661,  -0.06942,  -1.84861,  -0.00000,  -0.51083,  -0.51083,  -0.51083,  -0.51083,   0.00000
  -0.00000,  -0.03124,   0.00000,  -0.00000,   0.30222,   0.06167,  -1.93546,  -0.00000,  -0.65776,  -0.65776,  -0.65776,  -0.65776,   0.00000
  -0.00000,  -0.03853,   0.00000,   0.00000,   0.37087,  -0.05619,  -1.88644,   0.00000,  -0.81116,  -0.81116,  -0.81116,  -0.81116,   0.00000
  -0.00000,  -0.04593,   0.00000,   0.00000,   0.33440,   0.04718,  -1.95357,   0.00000,  -0.96700,  -0.96700,  -0.96700,  -0.96700,   0.00000
  -0.00000,  -0.05344,   0.00000,   0.00000,   0.38435,  -0.03946,  -1.91716,   0.00000,  -1.12495,  -1.12495,  -1.12495,  -1.12495,   0.00000
  -0.00000,  -0.06091,   0.00000,   0.00000,   0.36012,   0.02987,  -1.96260,   0.00000,  -1.28234,  -1.28234,  -1.28234,  -1.28234,   0.00000
  -0.00000,  -0.06830,   0.00000,   0.00000,   0.39095,  -0.02186,  -1.94208,   0.00000,  -1.43782,  -1.43782,  -1.43782,  -1.43782,   0.00000
  -0.00000,  -0.07549,   0.00000,   0.00000,   0.38023,   0.01362,  -1.96727,  -0.00000,  -1.58928,  -1.58928,  -1.58928,  -1.58928,   0.00000
  -0.00000,  -0.08243,   0.00000,   0.00000,   0.39543,  -0.00809,  -1.96127,  -0.00000,  -1.73540,  -1.73540,  -1.73540,  -1.73540,   0.00000
  -0.00000,  -0.08907,   0.00000,   0.00000,   0.39466,   0.00343,  -1.97258,  -0.00000,  -1.87506,  -1.87506,  -1.87506,  -1.87506,   0.00000
  -0.00000,  -0.09537,   0.00000,   0.00000,   0.40127,  -0.00175,  -1.97463,  -0.00000,  -2.00785,  -2.00785,  -2.00785,  -2.00785,   0.00000
  -0.00000,  -0.10135,   0.00000,   0.00000,   0.40425,   0.00011,  -1.98015,  -0.00000,  -2.13367,  -2.13367,  -2.13367,  -2.13367,   0.00000
  -0.00000,  -0.10700,   0.00000,   0.00000,   0.40802,  -0.00045,  -1.98412,  -0.00000,  -2.25263,  -2.25263,  -2.25263,  -2.25263,   0.00000
  -0.00000,  -0.11233,   0.00000,   0.00000,   0.41116,  -0.00038,  -1.98817,  -0.00000,  -2.36485,  -2.36485,  -2.36485,  -2.36485,   0.00000
  -0.00000,  -0.11735,   0.00000,   0.00000,   0.41404,  -0.00043,  -1.99191,  -0.00000,  -2.47049,  -2.47049,  -2.47049,  -2.47049,   0.00000
  -0.00000,  -0.12206,   0.00000,   0.00000,   0.41660,  -0.00047,  -1.99541,  -0.00000,  -2.56969,  -2.56969,  -2.56969,  -2.56969,   0.00000
  -0.00000,  -0.12647,   0.00000,   0.00000,   0.41886,  -0.00051,  -1.99868,  -0.00000,  -2.66259,  -2.66259,  -2.66259,  -2.66259,   0.00000
  -0.00000,  -0.13059,   0.00000,   0.00000,   0.42082,  -0.00057,  -2.00173,  -0.00000,  -2.74933,  -2.74933,  -2.74933,  -2.74933,   0.00000
  -0.00000,  -0.13443,   0.00000,   0.00000,   0.42248,  -0.00062,  -2.00455,  -0.00000,  -2.83003,  -2.83003,  -2.83003,  -2.83003,   0.00000
  -0.00000,  -0.13798,   0.00000,  -0.00000,   0.42385,  -0.00069,  -2.00716,  -0.00000,  -2.90482,  -2.90482,  -2.90482,  -2.90482,   0.00000
  -0.00000,  -0.14126,   0.00000,   0.00000,   0.42493,  -0.00077,  -2.00957,  -0.00000,  -2.97384,  -2.97384,  -2.97384,  -2.97384,   0.00000
  -0.00000,  -0.14427,   0.00000,  -0.00000,   0.42574,  -0.00085,  -2.01177,  -0.00000,  -3.03719,  -3.03719,  -3.03719,  -3.03719,   0.00000
  -0.00000,  -0.14701,   0.00000,  -0.00000,   0.42627,  -0.00095,  -2.01378,  -0.00000,  -3.09500,  -3.09500,  -3.09500,  -3.09500,   0.00000
  -0.00000,  -0.14950,   0.00000,  -0.00000,   0.42654,  -0.00107,  -2.01559,  -0.00000,  -3.14737,  -3.14737,  -3.14737,  -3.14737,   0.00000
